protein_id,seq_len,oligomeric_state,copies,total_length,time_min,time_s
ARH95957,240,homohexamer,6,1440,128.36,7701.6
ARH95959,398,homodimer,2,796,33.38,2002.9
ARH95960,253,homodimer,2,506,15.12,907.1
ARH95967,262,homotrimer,3,786,31.49,1889.5
ARH95981,572,homodimer,2,1144,82.70,4961.9
ARH96002,192,homotetramer,4,768,24.48,1468.5
ARH96021,367,homotetramer,4,1468,137.11,8226.7
ARH96022,417,homodimer,2,834,34.88,2092.5
ARH96087,360,homotetramer,4,1440,144.71,8682.8
ARH96098,369,homodimer,2,738,27.04,1622.6
ARH96104,282,homodimer,2,564,21.21,1272.6
ARH96155,619,homodimer,2,1238,66.31,3978.3
ARH96159,196,homodimer,2,392,7.95,477.2
ARH96182,623,homodimer,2,1246,134.03,8042.0
ARH96211,183,homodimer,2,366,7.88,472.8
ARH96213,109,homodimer,2,218,3.61,216.8
ARH96215,624,homodimer,2,1248,107.81,6468.4
ARH96219,434,homodimer,2,868,41.07,2464.3
ARH96249,271,homodimer,2,542,17.86,1071.6
ARH96265,355,homodimer,2,710,27.76,1665.6
ARH96272,287,homodimer,2,574,19.21,1152.7
ARH96313,217,homodimer,2,434,11.04,662.4
ARH96336,284,homodimer,2,568,20.48,1229.1
ARH96346,186,homodimer,2,372,8.10,485.7
ARH96347,521,homodimer,2,1042,59.47,3567.9
ARH96404,553,homodimer,2,1106,59.61,3576.4
ARH96408,382,homotetramer,4,1528,126.64,7598.7
ARH96409,266,homohexamer,6,1596,171.09,10265.2
ARH96414,147,homodimer,2,294,6.71,402.4
ARH96442,247,homohexamer,6,1482,138.68,8320.9
ARH96477,237,homotrimer,3,711,30.64,1838.4
ARH96482,350,homotetramer,4,1400,97.61,5856.6
ARH96483,249,homodimer,2,498,15.33,919.9
ARH96485,360,homotetramer,4,1440,139.94,8396.5
ARH96527,169,homohexamer,6,1014,50.73,3043.7
ARH96546,320,homodimer,2,640,22.63,1358.0
ARH96574,249,homodimer,2,498,12.55,752.8
ARH96575,411,homodimer,2,822,36.15,2169.2
ARH96627,240,homodimer,2,480,13.08,784.8
ARH96647,333,homotetramer,4,1332,83.14,4988.2
ARH96664,320,homodimer,2,640,21.96,1317.6
ARH96665,163,homodimer,2,326,8.12,486.9
ARH96668,447,homotetramer,4,1788,278.38,16702.6
ARH96669,430,homodimer,2,860,45.75,2745.0
ARH96679,759,homodimer,2,1518,104.81,6288.4
ARH96683,361,homodimer,2,722,26.92,1615.1
ARH96704,396,homodimer,2,792,31.18,1870.8
ARH96706,465,homodimer,2,930,47.34,2840.4
ARH96740,152,homohexamer,6,912,38.25,2295.1
ARH96744,396,homodimer,2,792,33.02,1981.3
ARH96780,391,homodimer,2,782,34.48,2068.7
